epsilon,class,evasion_rate_pct,potency_pct,effective_attack
0.0,Όλες,0.0,100.0,0.0
0.0,BFA,0.0,100.0,0.0
0.0,DDoS,0.0,100.0,0.0
0.0,DoS,0.0,100.0,0.0
0.0,Probe,0.0,100.0,0.0
0.05,Όλες,0.064,95.0,0.0608
0.05,BFA,0.33333333333333337,95.0,0.3166666666666667
0.05,DDoS,0.0,95.0,0.0
0.05,DoS,0.0,95.0,0.0
0.05,Probe,0.12,95.0,0.114
0.1,Όλες,5.4559999999999995,90.0,4.910399999999999
0.1,BFA,18.46666666666667,90.0,16.62
0.1,DDoS,0.0,90.0,0.0
0.1,DoS,7.971428571428571,90.0,7.1742857142857135
0.1,Probe,5.04,90.0,4.5360000000000005
0.2,Όλες,93.45599999999999,80.0,74.7648
0.2,BFA,98.8,80.0,79.04
0.2,DDoS,99.22,80.0,79.376
0.2,DoS,98.68571428571428,80.0,78.94857142857143
0.2,Probe,71.39999999999999,80.0,57.11999999999999
0.3,Όλες,99.976,70.0,69.9832
0.3,BFA,100.0,70.0,70.0
0.3,DDoS,100.0,70.0,70.0
0.3,DoS,99.91428571428571,70.0,69.94
0.3,Probe,100.0,70.0,70.0
0.4,Όλες,100.0,60.0,60.0
0.4,BFA,100.0,60.0,60.0
0.4,DDoS,100.0,60.0,60.0
0.4,DoS,100.0,60.0,60.0
0.4,Probe,100.0,60.0,60.0
0.5,Όλες,100.0,50.0,50.0
0.5,BFA,100.0,50.0,50.0
0.5,DDoS,100.0,50.0,50.0
0.5,DoS,100.0,50.0,50.0
0.5,Probe,100.0,50.0,50.0
0.65,Όλες,100.0,35.0,35.0
0.65,BFA,100.0,35.0,35.0
0.65,DDoS,100.0,35.0,35.0
0.65,DoS,100.0,35.0,35.0
0.65,Probe,100.0,35.0,35.0
0.8,Όλες,100.0,19.999999999999996,19.999999999999996
0.8,BFA,100.0,19.999999999999996,19.999999999999996
0.8,DDoS,100.0,19.999999999999996,19.999999999999996
0.8,DoS,100.0,19.999999999999996,19.999999999999996
0.8,Probe,100.0,19.999999999999996,19.999999999999996
1.0,Όλες,100.0,0.0,0.0
1.0,BFA,100.0,0.0,0.0
1.0,DDoS,100.0,0.0,0.0
1.0,DoS,100.0,0.0,0.0
1.0,Probe,100.0,0.0,0.0
