t,phase,is_attack,is_mitigated,queue_depth,queue_pct,response_time_ms,legit_packet_in,attack_packet_in,total_packet_in,flow_table_pct,entropy,window_rate,detected,mitigation_active,legit_drops_cumul
0,1,0,0,0,0.0,0.0,10,0,10,10.0,2.321928094887362,1.25,0,0,0
1,1,0,0,0,0.0,0.0,10,0,10,20.0,2.321928094887362,2.5,0,0,0
2,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
3,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
4,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
5,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
6,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
7,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
8,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,2.5,0,0,0
9,1,0,0,0,0.0,0.0,0,0,0,20.0,2.321928094887362,1.25,0,0,0
10,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
11,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
12,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
13,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
14,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
15,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
16,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
17,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
18,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
19,1,0,0,0,0.0,0.0,0,0,0,20.0,0.0,0.0,0,0,0
20,2,1,0,150,60.0,1500.0,0,400,400,20.0,8.638856189774724,50.0,0,0,0
21,2,1,0,150,60.0,1500.0,0,400,400,20.0,9.631356189774726,100.0,0,0,0
22,2,1,0,150,60.0,1500.0,0,400,400,20.0,10.200485357162549,150.0,0,0,0
23,2,1,0,150,60.0,1500.0,0,400,400,20.0,10.606356189774726,200.0,0,0,0
24,2,1,0,150,60.0,1500.0,0,400,400,20.0,10.924784284662087,250.0,0,0,0
25,2,1,0,150,60.0,1500.0,0,400,400,20.0,11.182152023829216,300.0,0,0,0
26,2,1,0,150,60.0,1500.0,0,400,400,20.0,11.3926396832609,350.0,0,0,0
27,2,1,0,150,60.0,1500.0,0,400,400,20.0,11.580884385085874,400.0,0,0,0
28,3,1,0,150,60.0,1500.0,0,400,400,20.0,11.742041007187456,450.0,1,0,0
29,3,1,0,150,60.0,1500.0,0,400,400,20.0,11.742806253715836,450.0,0,0,0
30,3,1,0,150,60.0,1500.0,10,400,410,20.0,11.748112823989402,451.25,0,0,0
31,4,1,1,130,52.0,1300.0,10,70,80,20.0,11.611909896737448,411.25,0,1,0
32,4,1,1,110,44.0,1100.0,0,80,80,20.0,11.469326378145313,371.25,0,1,0
33,4,1,1,90,36.0,900.0,0,80,80,20.0,11.302527672638178,331.25,0,1,0
34,4,1,1,70,28.0,700.0,0,80,80,20.0,11.120554201987066,291.25,0,1,0
35,4,1,1,50,20.0,500.0,0,80,80,20.0,10.907927603229394,251.25,0,1,0
36,4,1,1,30,12.0,300.0,0,80,80,20.0,10.660822390635722,211.25,0,1,0
37,4,1,1,10,4.0,100.0,0,80,80,20.0,10.352255880401053,171.25,0,1,0
38,4,1,1,0,0.0,0.0,0,80,80,20.0,9.963073719694282,131.25,0,1,0
39,4,1,1,0,0.0,0.0,0,80,80,20.0,9.45851976299634,90.0,0,1,0
40,4,1,1,0,0.0,0.0,0,80,80,20.0,9.475186429663008,90.0,0,1,0
