n_estimators,max_samples,contamination,max_features,val_roc_auc,val_f1,test_roc_auc,test_f1
100,256,0.05,1.0,0.9991208,0.9942711648631445,0.999,0.9929
100,auto,0.05,1.0,0.9991208,0.9942711648631445,,
100,256,0.02,1.0,0.9991208,0.9940705128205128,,
100,auto,0.02,1.0,0.9991208,0.9940705128205128,,
100,256,0.1,1.0,0.9991208,0.9879080060064807,,
100,auto,0.1,1.0,0.9991208,0.9879080060064807,,
300,512,0.05,1.0,0.9987142,0.9945885723380551,,
300,512,0.1,1.0,0.9987142,0.9883766901241401,,
300,512,0.02,1.0,0.9987142,0.9845306552198915,,
100,512,0.05,0.5,0.9986088,0.9939548202354438,,
100,512,0.1,0.5,0.9986088,0.987205812667825,,
100,512,0.02,0.5,0.9986088,0.9804112818011868,,
200,256,0.05,1.0,0.9985463,0.9937937619350732,,
200,auto,0.05,1.0,0.9985463,0.9937937619350732,,
200,256,0.1,1.0,0.9985463,0.9878299351983563,,
200,auto,0.1,1.0,0.9985463,0.9878299351983563,,
200,256,0.02,1.0,0.9985463,0.9816528657249554,,
200,auto,0.02,1.0,0.9985463,0.9816528657249554,,
300,256,0.05,1.0,0.9985093,0.9943511814782401,,
300,auto,0.05,1.0,0.9985093,0.9943511814782401,,
300,256,0.1,1.0,0.9985093,0.9883766901241401,,
300,auto,0.1,1.0,0.9985093,0.9883766901241401,,
300,256,0.02,1.0,0.9985093,0.9802455084952443,,
300,auto,0.02,1.0,0.9985093,0.9802455084952443,,
500,512,0.05,1.0,0.99843,0.9942720763723151,,
500,512,0.1,1.0,0.99843,0.9881422924901185,,
500,512,0.02,1.0,0.99843,0.9784219526097223,,
500,512,0.05,0.5,0.9983553000000001,0.9941920598297398,,
500,512,0.1,0.5,0.9983553000000001,0.9879080060064807,,
500,512,0.02,0.5,0.9983553000000001,0.9818270322894694,,
500,256,0.05,1.0,0.9982483,0.9944276389110014,,
500,auto,0.05,1.0,0.9982483,0.9944276389110014,,
500,256,0.1,1.0,0.9982483,0.9883766901241401,,
500,auto,0.1,1.0,0.9982483,0.9883766901241401,,
500,256,0.02,1.0,0.9982483,0.9694380545514295,,
500,auto,0.02,1.0,0.9982483,0.9694380545514295,,
300,512,0.05,0.5,0.9982432,0.994031988541418,,
300,512,0.1,0.5,0.9982432,0.9875957967922888,,
300,512,0.02,0.5,0.9982432,0.9766759093133257,,
200,512,0.05,1.0,0.9982233,0.9940291378074994,,
200,512,0.1,1.0,0.9982233,0.9886893933401882,,
200,512,0.02,1.0,0.9982233,0.9707161020424904,,
100,512,0.05,1.0,0.9981535,0.9930649661219609,,
100,512,0.1,1.0,0.9981535,0.9880641846494348,,
100,512,0.02,1.0,0.9981535,0.9732383992143383,,
500,256,0.05,0.75,0.998116,0.9936346276257161,,
500,auto,0.05,0.75,0.998116,0.9936346276257161,,
500,256,0.1,0.75,0.998116,0.9880641846494348,,
500,auto,0.1,0.75,0.998116,0.9880641846494348,,
500,256,0.02,0.75,0.998116,0.9733355144773433,,
500,auto,0.02,0.75,0.998116,0.9733355144773433,,
100,256,0.05,0.5,0.9979539000000002,0.993297159272263,,
100,auto,0.05,0.5,0.9979539000000002,0.993297159272263,,
100,256,0.1,0.5,0.9979539000000002,0.9875158027812895,,
100,auto,0.1,0.5,0.9979539000000002,0.9875158027812895,,
100,256,0.02,0.5,0.9979539000000002,0.9677525501809806,,
100,auto,0.02,0.5,0.9979539000000002,0.9677525501809806,,
300,256,0.05,0.75,0.9978655999999999,0.9922776848976992,,
300,auto,0.05,0.75,0.9978655999999999,0.9922776848976992,,
300,256,0.1,0.75,0.9978655999999999,0.9881404174573055,,
300,auto,0.1,0.75,0.9978655999999999,0.9881404174573055,,
300,256,0.02,0.75,0.9978655999999999,0.9720652084869337,,
300,auto,0.02,0.75,0.9978655999999999,0.9720652084869337,,
300,256,0.05,0.5,0.9978642000000001,0.9923579047922305,,
300,auto,0.05,0.5,0.9978642000000001,0.9923579047922305,,
300,256,0.1,0.5,0.9978642000000001,0.9884548473825716,,
300,auto,0.1,0.5,0.9978642000000001,0.9884548473825716,,
300,256,0.02,0.5,0.9978642000000001,0.9669081330260125,,
300,auto,0.02,0.5,0.9978642000000001,0.9669081330260125,,
300,512,0.05,0.75,0.9978568,0.991305735024328,,
300,512,0.1,0.75,0.9978568,0.9882185498537203,,
300,512,0.02,0.75,0.9978568,0.9729154733655184,,
200,512,0.05,0.5,0.9978237999999999,0.9929111907606532,,
200,512,0.1,0.5,0.9978237999999999,0.9873617693522907,,
200,512,0.02,0.5,0.9978237999999999,0.9675880223757815,,
500,512,0.05,0.75,0.9978095,0.9917052161429255,,
500,512,0.1,0.75,0.9978095,0.9885330170027679,,
500,512,0.02,0.75,0.9978095,0.9678215784709078,,
500,256,0.05,0.5,0.9976702,0.9921109251733206,,
500,auto,0.05,0.5,0.9976702,0.9921109251733206,,
500,256,0.1,0.5,0.9976702,0.9891571032845271,,
500,auto,0.1,0.5,0.9976702,0.9891571032845271,,
500,256,0.02,0.5,0.9976702,0.9617612977983777,,
500,auto,0.02,0.5,0.9976702,0.9617612977983777,,
100,256,0.05,0.75,0.9975565,0.9906646453363122,,
100,auto,0.05,0.75,0.9975565,0.9906646453363122,,
100,256,0.1,0.75,0.9975565,0.9873597724759046,,
100,auto,0.1,0.75,0.9975565,0.9873597724759046,,
100,256,0.02,0.75,0.9975565,0.9665788607178136,,
100,auto,0.02,0.75,0.9975565,0.9665788607178136,,
200,256,0.05,0.5,0.9973,0.9897714559693144,,
200,auto,0.05,0.5,0.9973,0.9897714559693144,,
200,256,0.1,0.5,0.9973,0.9878260869565217,,
200,auto,0.1,0.5,0.9973,0.9878260869565217,,
200,256,0.02,0.5,0.9973,0.9555592543275633,,
200,auto,0.02,0.5,0.9973,0.9555592543275633,,
200,256,0.05,0.75,0.9971139,0.9901812085894468,,
200,auto,0.05,0.75,0.9971139,0.9901812085894468,,
200,256,0.1,0.75,0.9971139,0.9875079063883618,,
200,auto,0.1,0.75,0.9971139,0.9875079063883618,,
200,256,0.02,0.75,0.9971139,0.9582607252510165,,
200,auto,0.02,0.75,0.9971139,0.9582607252510165,,
200,512,0.1,0.75,0.9967382,0.987503954444796,,
200,512,0.05,0.75,0.9967382,0.9857142857142858,,
200,512,0.02,0.75,0.9967382,0.9566084788029925,,
100,512,0.1,0.75,0.9960349999999999,0.9867046533713201,,
100,512,0.05,0.75,0.9960349999999999,0.9806201550387597,,
100,512,0.02,0.75,0.9960349999999999,0.951577892803473,,
