t,src_ip,packets,bytes,blocked
0.0,10.0.0.1,330,264000,False
0.1,10.0.0.2,330,264000,False
0.1,10.0.0.3,330,264000,False
0.2,10.0.0.4,330,264000,False
0.3,10.0.0.5,330,264000,False
0.3,10.0.0.6,330,264000,True
0.8,10.0.0.1,12,1176,False
0.8,10.0.0.2,12,1176,False
0.9,10.0.0.3,11,1078,False
0.9,10.0.0.4,11,1078,False
1.0,10.0.0.6,54158,2924532,True
3.0,10.0.0.1,6,588,False
3.1,10.0.0.2,6,588,False
3.2,10.0.0.3,7,686,False
3.2,10.0.0.4,7,686,False
3.3,10.0.0.6,52684,2844936,True
5.3,10.0.0.1,11,1078,False
5.4,10.0.0.2,11,1078,False
5.4,10.0.0.1,100,80000,False
5.5,10.0.0.3,11,1078,False
5.6,10.0.0.2,100,80000,False
5.7,10.0.0.4,11,1078,False
5.8,10.0.0.3,100,80000,False
5.8,10.0.0.6,53073,2865942,True
6.0,10.0.0.4,100,80000,False
8.0,10.0.0.1,9,882,False
8.0,10.0.0.2,9,882,False
8.1,10.0.0.3,10,924,False
8.2,10.0.0.4,9,882,False
8.2,10.0.0.6,60723,3279042,True
10.3,10.0.0.1,11,1078,False
10.3,10.0.0.2,11,1078,False
10.4,10.0.0.3,11,1078,False
10.4,10.0.0.4,11,1078,False
10.4,10.0.0.6,52804,2851416,True
11.1,10.0.0.1,100,80000,False
11.1,10.0.0.2,100,80000,False
11.2,10.0.0.3,100,80000,False
11.3,10.0.0.4,100,80000,False
12.5,10.0.0.1,7,630,False
12.5,10.0.0.2,7,630,False
12.6,10.0.0.3,6,588,False
12.7,10.0.0.4,7,630,False
12.7,10.0.0.6,50958,2751732,True
14.8,10.0.0.1,12,1176,False
14.9,10.0.0.2,12,1176,False
15.0,10.0.0.3,13,1218,False
15.0,10.0.0.4,12,1176,False
15.1,10.0.0.6,53293,2877822,True
16.4,10.0.0.1,100,80000,False
16.5,10.0.0.2,100,80000,False
16.7,10.0.0.3,100,80000,False
16.8,10.0.0.4,100,80000,False
17.2,10.0.0.1,7,686,False
17.3,10.0.0.2,7,686,False
17.4,10.0.0.3,7,686,False
17.5,10.0.0.4,7,686,False
17.7,10.0.0.6,44078,2380212,True
19.8,10.0.0.1,12,1176,False
19.9,10.0.0.2,12,1176,False
20.0,10.0.0.3,12,1176,False
20.1,10.0.0.4,11,1078,False
20.2,10.0.0.6,5939,320694,True
22.0,10.0.0.1,100,80000,False
22.1,10.0.0.2,100,80000,False
22.2,10.0.0.3,100,80000,False
22.3,10.0.0.4,100,80000,False
22.3,10.0.0.1,9,826,False
22.5,10.0.0.2,8,784,False
22.6,10.0.0.3,8,784,False
22.7,10.0.0.4,9,882,False
24.8,10.0.0.1,11,1078,False
24.8,10.0.0.2,12,1120,False
24.9,10.0.0.3,11,1078,False
25.0,10.0.0.4,12,1120,False
27.1,10.0.0.1,9,882,False
27.2,10.0.0.2,9,882,False
27.2,10.0.0.3,9,882,False
27.3,10.0.0.4,9,882,False
27.5,10.0.0.1,100,80000,False
27.6,10.0.0.2,100,80000,False
27.7,10.0.0.3,100,80000,False
27.7,10.0.0.4,100,80000,False
29.4,10.0.0.1,9,882,False
29.4,10.0.0.2,9,882,False
29.5,10.0.0.3,9,882,False
29.6,10.0.0.4,9,882,False
31.7,10.0.0.1,11,1078,False
31.7,10.0.0.2,11,1078,False
31.8,10.0.0.3,11,1078,False
31.9,10.0.0.4,11,1078,False
32.9,10.0.0.6,180,9000,True
34.0,10.0.0.1,8,728,False
34.1,10.0.0.2,8,728,False
34.1,10.0.0.3,8,728,False
