timestamp,src_ip,dst_ip,packets,bytes,flow_count,packet_rate,byte_rate,short_flow_ratio,avg_pkt_size,verdict,action,anomaly_score,scenario
1783888156.05,10.0.0.1,10.0.0.5,10,980,1,10.0,980.0,0.0,2.1,Normal,FORWARD,-0.5697,live
1783888156.08,10.0.0.2,10.0.0.5,10,980,1,10.0,980.0,0.0,2.1,Normal,FORWARD,-0.57,live
1783888156.1,10.0.0.3,10.0.0.5,10,980,1,10.0,980.0,0.0,2.1,Normal,FORWARD,-0.57,live
1783888156.12,10.0.0.4,10.0.0.5,10,980,1,10.0,980.0,0.0,2.0,Normal,FORWARD,-0.57,live
1783888158.16,10.0.0.1,10.0.0.5,10,980,1,10.0,980.0,0.0,4.2,Normal,FORWARD,-0.5613,live
1783888158.19,10.0.0.2,10.0.0.5,10,980,1,10.0,980.0,0.0,4.2,Normal,FORWARD,-0.5613,live
1783888158.21,10.0.0.3,10.0.0.5,10,980,1,10.0,980.0,0.0,4.2,Normal,FORWARD,-0.5613,live
1783888158.24,10.0.0.4,10.0.0.5,10,980,1,10.0,980.0,0.0,4.1,Normal,FORWARD,-0.5613,live
1783888160.27,10.0.0.1,10.0.0.5,5,490,1,5.0,490.0,0.0,6.3,Normal,FORWARD,-0.5583,live
1783888160.3,10.0.0.2,10.0.0.5,5,490,1,5.0,490.0,0.0,6.3,Normal,FORWARD,-0.5583,live
1783888160.32,10.0.0.3,10.0.0.5,5,490,1,5.0,490.0,0.0,6.3,Normal,FORWARD,-0.5585,live
1783888160.35,10.0.0.4,10.0.0.5,5,490,1,5.0,490.0,0.0,6.3,Normal,FORWARD,-0.5585,live
1783888162.38,10.0.0.1,10.0.0.5,10,980,1,10.0,980.0,0.0,8.4,Normal,FORWARD,-0.5563,live
1783888162.4,10.0.0.2,10.0.0.5,10,980,1,10.0,980.0,0.0,8.4,Normal,FORWARD,-0.5563,live
1783888162.43,10.0.0.3,10.0.0.5,10,980,1,10.0,980.0,0.0,8.4,Normal,FORWARD,-0.5563,live
1783888162.45,10.0.0.4,10.0.0.5,10,980,1,10.0,980.0,0.0,8.4,Normal,FORWARD,-0.5563,live
1783888164.48,10.0.0.1,10.0.0.5,5,490,1,5.0,490.0,0.0,10.5,Normal,FORWARD,-0.5603,live
1783888164.51,10.0.0.2,10.0.0.5,5,490,1,5.0,490.0,0.0,10.5,Normal,FORWARD,-0.56,live
1783888164.54,10.0.0.3,10.0.0.5,5,490,1,5.0,490.0,0.0,10.5,Normal,FORWARD,-0.5596,live
