NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=26.874s, table=0, n_packets=0, n_bytes=0, idle_age=26, priority=100,ip,nw_src=10.0.0.6 actions=drop
 cookie=0x0, duration=88.360s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.1,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=88.356s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.1,nw_dst=10.0.0.3 actions=NORMAL
 cookie=0x0, duration=88.353s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.1,nw_dst=10.0.0.4 actions=NORMAL
 cookie=0x0, duration=88.350s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.1,nw_dst=10.0.0.5 actions=NORMAL
 cookie=0x0, duration=88.347s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.1,nw_dst=10.0.0.6 actions=NORMAL
 cookie=0x0, duration=88.344s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.2,nw_dst=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=88.341s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.2,nw_dst=10.0.0.3 actions=NORMAL
 cookie=0x0, duration=88.339s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.2,nw_dst=10.0.0.4 actions=NORMAL
 cookie=0x0, duration=88.336s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.2,nw_dst=10.0.0.5 actions=NORMAL
 cookie=0x0, duration=88.333s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.2,nw_dst=10.0.0.6 actions=NORMAL
 cookie=0x0, duration=88.330s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.3,nw_dst=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=88.325s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.3,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=88.322s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.3,nw_dst=10.0.0.4 actions=NORMAL
 cookie=0x0, duration=88.319s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.3,nw_dst=10.0.0.5 actions=NORMAL
 cookie=0x0, duration=88.316s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.3,nw_dst=10.0.0.6 actions=NORMAL
 cookie=0x0, duration=88.312s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.4,nw_dst=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=88.310s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.4,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=88.307s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.4,nw_dst=10.0.0.3 actions=NORMAL
 cookie=0x0, duration=88.304s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.4,nw_dst=10.0.0.5 actions=NORMAL
 cookie=0x0, duration=88.301s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.4,nw_dst=10.0.0.6 actions=NORMAL
 cookie=0x0, duration=88.298s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.5,nw_dst=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=88.296s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.5,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=88.293s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.5,nw_dst=10.0.0.3 actions=NORMAL
 cookie=0x0, duration=88.290s, table=0, n_packets=354, n_bytes=34692, idle_age=0, priority=10,ip,nw_src=10.0.0.5,nw_dst=10.0.0.4 actions=NORMAL
 cookie=0x0, duration=88.287s, table=0, n_packets=38945, n_bytes=2103030, idle_age=28, priority=10,ip,nw_src=10.0.0.5,nw_dst=10.0.0.6 actions=NORMAL
 cookie=0x0, duration=88.284s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.6,nw_dst=10.0.0.1 actions=NORMAL
 cookie=0x0, duration=88.282s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.6,nw_dst=10.0.0.2 actions=NORMAL
 cookie=0x0, duration=88.279s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.6,nw_dst=10.0.0.3 actions=NORMAL
 cookie=0x0, duration=88.276s, table=0, n_packets=0, n_bytes=0, idle_age=88, priority=10,ip,nw_src=10.0.0.6,nw_dst=10.0.0.4 actions=NORMAL
 cookie=0x0, duration=88.274s, table=0, n_packets=42314, n_bytes=2284956, idle_age=28, priority=10,ip,nw_src=10.0.0.6,nw_dst=10.0.0.5 actions=NORMAL
 cookie=0x0, duration=91.502s, table=0, n_packets=109, n_bytes=6570, idle_age=9, priority=0 actions=NORMAL
