trial,tpr_pct,fpr_pct,mitigation_coverage_pct,traffic_reduction_pct,ttd_seconds,redetection_rate_pct,fp_events
1,25.8,0.0,74.2,75.5,0,25.0,0
2,25.8,0.0,74.2,76.8,0,25.0,0
3,25.8,0.0,74.2,75.7,0,25.0,0
4,25.8,0.0,74.2,74.3,0,25.0,0
5,25.8,0.0,74.2,71.9,0,25.0,0
6,25.8,0.0,74.2,73.1,0,25.0,0
7,25.8,0.0,74.2,74.8,0,25.0,0
8,25.8,0.0,74.2,73.5,0,25.0,0
9,25.8,0.0,74.2,75.0,0,25.0,0
10,25.8,0.0,74.2,73.8,0,25.0,0
11,25.8,0.0,74.2,72.9,0,25.0,0
12,25.8,0.0,74.2,75.3,0,25.0,0
13,25.8,0.0,74.2,73.4,0,25.0,0
14,25.8,0.0,74.2,74.3,0,25.0,0
15,25.8,0.0,74.2,73.8,0,25.0,0
16,25.8,0.0,74.2,74.4,0,25.0,0
17,25.8,0.0,74.2,73.7,0,25.0,0
18,25.8,0.0,74.2,74.1,0,25.0,0
19,25.8,0.0,74.2,72.7,0,25.0,0
20,25.8,0.0,74.2,73.1,0,25.0,0
21,25.8,0.0,74.2,76.6,0,25.0,0
22,25.8,0.0,74.2,75.1,0,25.0,0
23,25.8,0.0,74.2,74.5,0,25.0,0
24,25.8,0.0,74.2,74.2,0,25.0,0
25,25.8,0.0,74.2,76.0,0,25.0,0
26,25.8,0.0,74.2,72.5,0,25.0,0
27,25.8,0.0,74.2,75.4,0,25.0,0
28,25.8,0.0,74.2,72.8,0,25.0,0
29,25.8,0.0,74.2,74.3,0,25.0,0
30,25.8,0.0,74.2,73.9,0,25.0,0
31,25.8,0.0,74.2,72.2,0,25.0,0
32,25.8,0.0,74.2,76.4,0,25.0,0
33,25.8,0.0,74.2,73.6,0,25.0,0
34,25.8,0.0,74.2,72.8,0,25.0,0
35,25.8,0.0,74.2,75.3,0,25.0,0
36,25.8,0.0,74.2,75.5,0,25.0,0
37,25.8,0.0,74.2,74.5,0,25.0,0
38,25.8,0.0,74.2,75.2,0,25.0,0
39,25.8,0.0,74.2,74.9,0,25.0,0
40,25.8,0.0,74.2,73.1,0,25.0,0
41,25.8,0.0,74.2,75.5,0,25.0,0
42,25.8,0.0,74.2,74.4,0,25.0,0
43,25.8,0.0,74.2,74.2,0,25.0,0
44,25.8,0.0,74.2,74.2,0,25.0,0
45,25.8,0.0,74.2,73.6,0,25.0,0
46,25.8,0.0,74.2,74.2,0,25.0,0
47,25.8,0.0,74.2,75.2,0,25.0,0
48,25.8,0.0,74.2,73.9,0,25.0,0
49,25.8,0.0,74.2,74.1,0,25.0,0
50,25.8,0.0,74.2,74.5,0,25.0,0
